#,Date,New Column,Own Goal #,Own Goal Scorer,Opponent,Minute,Score,Result,Competition,Venue,Stadium
90,2000-10-21,2000/2001,1,Matthew Jones,Manchester United,83,3 - 0,🔴 Lost,Premier League,A,"Old Trafford, Manchester"
89,1999-08-23,1999/2000,1,Lucas Radebe,Liverpool,55,1 - 2,🔴 Lost,Premier League,H,"Elland Road, Leeds"
88,1996-09-07,1996/1997,1,Nigel Martyn,Manchester United,3,0 - 4,🔴 Lost,Premier League,H,"Elland Road, Leeds"
87,1995-12-30,1995/1996,2,David Wetherall,Everton,6,2 - 0,🔴 Lost,Premier League,A,"Goodison Park, Liverpool"
86,1995-11-29,1995/1996,2,Gary Kelly,Blackburn Rovers,51,2 - 1,🟢 Won,League Cup,H,"Elland Road, Leeds"
85,1995-10-31,1995/1996,1,John Pemberton,PSV Eindhoven,43,3 - 0,🔴 Lost,UEFA Cup,A,"Philips Stadion, Eindhoven"
84,1995-01-28,1994/1995,1,Carlton Palmer,Oldham Athletic,70,3 - 2,🟢 Won,FA Cup,H,"Elland Road, Leeds"
83,1995-01-17,1994/1995,1,David Wetherall,Walsall,69,5 - 2,🟢 Won,FA Cup,H,"Elland Road, Leeds"
82,1993-09-18,1993/1994,1,Gary Kelly,Sheffield United,25,2 - 1,🟢 Won,Premier League,H,"Elland Road, Leeds"
81,1993-08-24,1993/1994,1,Jon Newsome,Arsenal,1,2 - 1,🔴 Lost,Premier League,A,"Highbury, London"
80,1992-10-31,1992/1993,1,Gary McAllister,Coventry City,12,2 - 2,🟠 Draw,Premier League,H,"Elland Road, Leeds"
79,1992-10-21,1992/1993,1,John Lukic,Rangers,21,2 - 1,🔴 Lost,Champions League,A,"Ibrox Stadium, Glasgow"
78,1992-08-08,1992/1993,1,Gordon Strachan,Liverpool,89,4 - 3,🟢 Won,FA Charity Shield,N,"Wembley Stadium, London"
77,1992-04-26,1991/1992,2,Lee Chapman,Sheffield United,70,2 - 3,🟢 Won,Division One,A,"Bramall Lane, Sheffield"
76,1990-03-17,1989/1990,1,Lee Chapman,West Ham United,68,3 - 2,🟢 Won,Division Two,H,"Elland Road, Leeds"
75,1989-09-09,1989/1990,1,Chris Fairclough,Ipswich Town,78,1 - 1,🟠 Draw,Division Two,H,"Elland Road, Leeds"
74,1989-03-01,1988/1989,1,Mervyn Day,Bradford City,5,3 - 3,🟠 Draw,Division Two,H,"Elland Road, Leeds"
73,1988-09-03,1988/1989,1,Bob Taylor,Portsmouth,30,4 - 0,🔴 Lost,Division Two,A,"Fratton Park, Portsmouth"
72,1987-11-28,1987/1988,2,Jack Ashurst,Crystal Palace,57,3 - 0,🔴 Lost,Division Two,A,"Selhurst Park, London"
71,1987-10-10,1987/1988,2,David Rennie,Aston Villa,26,1 - 3,🔴 Lost,Division Two,H,"Elland Road, Leeds"
70,1987-04-22,1986/1987,1,Jack Ashurst,Reading,4,2 - 1,🔴 Lost,Division Two,A,"Elm Park, Berkshire"
69,1987-02-21,1986/1987,1,David Rennie,Queens Park Rangers,64,2 - 1,🟢 Won,FA Cup,H,"Elland Road, Leeds"
68,1987-02-14,1986/1987,1,John Sheridan,Barnsley,76,2 - 2,🟠 Draw,Division Two,H,"Elland Road, Leeds"
67,1986-05-03,1985/1986,1,Brendon Ormsby,Norwich City,33,4 - 0,🔴 Lost,Division Two,A,"Carrow Road, Norwich"
